Name,Vitality,Vigor,Capacity,Motivity,Technique
LV1,0,0,0,0,0
LV2,0,0,0,0,0
LV3,0,0,0,0,0
LV4,0,0,0,0,0
LV5,0,0,0,0,0
LV6,0,7,0,5,5
LV7,0,13,0,10,10
LV8,0,19,0,15,15
LV9,0,24,0,20,20
LV10,0,29,0,25,25
LV11,0,34,0,30,30
LV12,20,38,3.6,34,34
LV13,38,42,7.1,38,38
LV14,56,46,10.6,42,42
LV15,73,50,14.1,46,46
LV16,89,53,17.7,50,50
LV17,105,56,21.2,55,55
LV18,120,59,24.7,60,60
LV19,135,62,28.2,65,65
LV20,149,65,31.8,70,70
LV21,163,68,35.3,75,75
LV22,176,70,38.8,79,79
LV23,189,73,42.3,83,83
LV24,201,75,45.8,87,87
LV25,213,77,49.4,91,91
LV26,225,79,52.9,95,95
LV27,236,81,56.4,98,98
LV28,247,83,59.9,101,101
LV29,258,85,63.4,104,104
LV30,268,87,66.9,107,107
LV31,278,88,70.4,110,110
LV32,287,90,74,114,114
LV33,296,91,77.5,118,118
LV34,305,93,81,122,122
LV35,314,94,84.5,126,126
LV36,322,96,88,130,130
LV37,330,97,91.5,133,133
LV38,338,99,95,136,136
LV39,346,100,98.5,139,139
LV40,354,101,102,142,142
LV41,361,102,105.5,145,145
LV42,369,103,109,147,147
LV43,376,104,112.6,149,149
LV44,382,106,116.1,151,151
LV45,389,107,119.6,153,153
LV46,396,108,123.1,155,155
LV47,402,109,126.6,157,157
LV48,408,110,130.1,159,159
LV49,414,110,133.6,161,161
LV50,420,111,137.1,163,163
LV51,426,112,140.6,165,165
LV52,431,113,144.1,168,168
LV53,437,114,147.6,170,170
LV54,442,115,151.1,171,171
LV55,447,115,154.6,172,172
LV56,452,116,158.1,173,173
LV57,457,117,161.6,174,174
LV58,462,118,165,175,175
LV59,467,118,168.5,176,176
LV60,472,119,172,177,177
LV61,476,120,175.5,178,178
LV62,481,120,179,179,179
LV63,485,121,182.5,180,180
LV64,489,122,186,181,181
LV65,493,122,189.5,182,182
LV66,498,123,193,183,183
LV67,502,123,196.5,184,184
LV68,505,124,200,185,185
LV69,509,124,203.4,186,186
LV70,513,125,206.9,187,187
LV71,517,126,210.4,188,188
LV72,520,126,213.9,189,189
LV73,523,127,217.4,190,190
LV74,526,127,220.9,191,191
LV75,529,128,224.4,192,192
LV76,532,128,227.8,193,193
